name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
El Prat-Zonilla (Barcelona),ESCAT0800000008820D,2026-09-09,2.08,41.32,4.0,28.0,25.3,86.0,76.0,1013.5,1010.9,27.0,0.8,25.3,77.0,112.0,11.0,0.8,xml_feed
Sant Boi - Molí Nou (Barcelona),ESCAT0800000008830B,2026-09-09,2.03,41.37,26.0,27.6,24.3,83.0,68.0,1012.3,1009.9,29.0,1.8,24.4,78.0,90.0,10.0,1.8,xml_feed
Sant Boi de Llobregat (Barcelona),ESCAT0800000008830C,2026-09-09,2.03,41.35,50.0,27.4,24.7,87.0,78.0,1011.8,1010.0,31.0,2.0,24.7,83.0,134.0,3.0,2.0,xml_feed
Sant Boi Ll. - Marianao (Barcelona),ESCAT0800000008830E,2026-09-09,2.03,41.35,36.0,27.4,23.1,91.0,78.0,1012.4,1010.3,17.0,2.3,23.1,91.0,135.0,9.0,2.3,xml_feed
Viladecans (Barcelona),ESCAT0800000008840A,2026-09-09,2.01,41.32,53.0,28.0,23.7,90.0,65.0,1012.7,1009.6,26.0,4.1,23.7,89.0,113.0,8.0,4.1,xml_feed
Sant Climent de Llobregat (Barcelona),ESCAT0800000008849C,2026-09-09,1.99,41.34,80.0,26.8,23.1,91.0,77.0,1010.4,1007.9,21.0,4.6,23.1,90.0,33.0,3.0,4.6,xml_feed
Gavà.  La Bòbila (Barcelona),ESCAT0800000008850A,2026-09-09,2.0,41.31,45.0,27.3,23.7,90.0,82.0,1010.6,1008.3,28.0,3.6,23.7,90.0,112.0,11.0,3.6,xml_feed
Gavà - Gavà Nova (Barcelona),ESCAT0800000008850C,2026-09-09,1.99,41.31,40.0,27.3,23.8,90.0,79.0,1013.9,1012.2,11.0,2.5,23.9,90.0,107.0,0.0,2.5,xml_feed
Castelldefels - Bellamar (Barcelona),ESCAT0800000008860A,2026-09-09,1.95,41.27,20.0,26.7,23.2,91.0,80.0,1013.2,1011.0,19.0,14.6,23.2,91.0,9.0,6.0,14.6,xml_feed
Castelldefels - Platja (Barcelona),ESCAT0800000008860B,2026-09-09,1.96,41.27,2.0,28.2,23.7,90.0,77.0,1013.3,1010.3,30.0,6.2,23.7,90.0,107.0,26.0,6.2,xml_feed
Sitges (Barcelona),ESCAT0800000008870D,2026-09-09,1.8,41.24,15.0,27.7,22.6,86.0,75.0,1011.5,1009.6,34.0,43.4,22.6,86.0,105.0,13.0,43.4,xml_feed
Sitges (Barcelona),ESCAT0800000008870E,2026-09-09,1.81,41.24,25.0,27.4,22.6,88.0,77.0,1013.1,1011.1,40.0,49.4,22.6,88.0,44.0,16.0,49.4,xml_feed
L'Hospitalet de Llobregat (Barcelona),ESCAT0800000008901D,2026-09-09,2.1,41.36,20.0,27.2,25.2,83.0,75.0,1008.8,1007.1,33.0,1.4,25.3,76.0,134.0,6.0,1.4,xml_feed
Sant Boi - C. Cooperativa (Barcelona),ESCAT0800000008903D,2026-09-09,2.03,41.36,41.0,27.7,24.3,85.0,66.0,1012.9,1010.1,32.0,2.8,24.4,79.0,90.0,21.0,2.8,xml_feed
Badalona - Dalt la Vila (Barcelona),ESCAT0800000008911C,2026-09-09,2.26,41.46,37.0,27.5,25.0,87.0,76.0,1014.5,1011.9,24.0,0.5,25.1,87.0,57.0,0.0,0.5,xml_feed
Badalona - Centre (Barcelona),ESCAT0800000008912A,2026-09-09,2.25,41.45,30.0,26.9,25.4,83.0,76.0,1012.5,1010.9,32.0,0.2,25.5,83.0,84.0,3.0,0.2,xml_feed
Badalona - Progres (Barcelona),ESCAT0800000008912B,2026-09-09,2.24,41.45,27.0,27.9,25.9,82.0,75.0,1013.1,1010.5,34.0,0.4,25.9,81.0,45.0,3.0,0.4,xml_feed
Badalona- S.Antoni Llefià (Barcelona),ESCAT0800000008913B,2026-09-09,2.22,41.44,35.0,26.9,25.3,83.0,73.0,1011.1,1009.1,31.0,0.8,25.3,81.0,82.0,2.0,0.8,xml_feed
Badalona - Bufalà (Barcelona),ESCAT0800000008915A,2026-09-09,2.24,41.46,65.0,26.7,25.6,78.0,71.0,1011.7,1009.5,8.0,0.3,25.6,77.0,0.0,0.0,0.3,xml_feed
Cornella de Llobregat (Barcelona),ESCAT0800000008940C,2026-09-09,2.08,41.36,47.0,26.7,24.3,83.0,73.0,1012.6,1010.7,40.0,1.3,24.8,75.0,90.0,12.0,1.3,xml_feed
Sant Feliu de Llobregat (Barcelona),ESCAT0800000008980A,2026-09-09,2.05,41.39,48.0,27.2,25.1,85.0,59.0,1016.4,1013.9,35.0,0.4,25.1,85.0,212.0,17.0,0.4,xml_feed
Sant Feliu Llob - Mestral (Barcelona),ESCAT0800000008980C,2026-09-09,2.05,41.39,112.0,27.0,24.2,87.0,58.0,1010.0,1007.3,34.0,0.2,24.2,86.0,128.0,6.0,0.2,xml_feed
Sant Feliu deLlob.S.Josep (Barcelona),ESCAT0800000008980D,2026-09-09,2.01,41.37,26.0,26.5,24.0,85.0,73.0,1011.7,1009.7,31.0,1.4,24.0,83.0,55.0,8.0,1.4,xml_feed
Pedraforca-PN CadíMoixeró (Barcelona),ESCAT0800000025716A,2026-09-09,1.7,42.24,2270.0,13.3,10.1,89.0,77.0,1021.4,1016.7,16.0,0.4,10.2,86.0,0.0,3.0,0.4,xml_feed
Girona - Marfà (Girona),ESCAT1700000017006A,2026-09-09,2.81,41.98,72.0,25.6,22.3,88.0,73.0,1013.3,1010.9,21.0,0.0,22.3,76.0,30.0,5.0,0.0,xml_feed
Girona-Fontajau (Girona),ESCAT1700000017007B,2026-09-09,2.82,41.99,76.0,24.6,22.8,83.0,64.0,1012.9,1011.2,7.0,0.0,23.0,64.0,123.0,1.0,0.0,xml_feed
La Bisbal d'Empordà - T (Girona),ESCAT1700000017100A,2026-09-09,3.04,41.96,60.0,24.7,22.9,81.0,64.0,1016.2,1014.4,9.0,0.0,23.5,64.0,337.0,5.0,0.0,xml_feed
La Bisbal d'Empordà (Girona),ESCAT1700000017100B,2026-09-09,3.04,41.95,44.0,25.7,22.7,87.0,68.0,1013.4,1010.9,11.0,0.0,23.7,68.0,67.0,8.0,0.0,xml_feed
La Bisbal d'Empordà LV (Girona),ESCAT1700000017100C,2026-09-09,3.04,41.96,40.0,23.5,21.2,81.0,63.0,1017.5,1015.5,5.0,0.0,22.0,63.0,222.0,0.0,0.0,xml_feed
Gavarres - Puig d'Arques (Girona),ESCAT1700000017116A,2026-09-09,3.0,41.89,475.0,23.1,19.8,83.0,71.0,1014.0,1011.4,24.0,0.0,20.0,71.0,337.0,21.0,0.0,xml_feed
L'Escala Closa d'en Llop (Girona),ESCAT1700000017130C,2026-09-09,3.13,42.12,35.0,24.2,22.8,75.0,61.0,1013.3,1011.6,15.0,0.0,23.3,61.0,329.0,5.0,0.0,xml_feed
L'Escala - Riells Centre (Girona),ESCAT1700000017130F,2026-09-09,3.14,42.11,4.0,24.5,23.1,66.0,50.0,1014.0,1011.7,13.0,0.0,24.1,50.0,339.0,5.0,0.0,xml_feed
Sobrestany (Girona),ESCAT1700000017141C,2026-09-09,3.12,42.08,25.0,24.2,21.4,80.0,75.0,1014.3,1012.2,13.0,0.0,21.6,75.0,93.0,0.0,0.0,xml_feed
Verges (Girona),ESCAT1700000017142A,2026-09-09,3.05,42.06,15.0,25.7,22.3,80.0,58.0,1012.4,1010.1,18.0,0.0,23.9,58.0,44.0,5.0,0.0,xml_feed
Verges Ponent (Girona),ESCAT1700000017142C,2026-09-09,3.05,42.06,27.0,25.8,23.5,80.0,57.0,1011.4,1009.2,23.0,0.0,24.3,57.0,0.0,10.0,0.0,xml_feed
Sant Gregori (Girona),ESCAT1700000017150A,2026-09-09,2.76,41.99,112.0,23.7,20.6,88.0,84.0,1012.1,1010.8,6.0,0.0,20.6,86.0,38.0,3.0,0.0,xml_feed
Bescanó (Girona),ESCAT1700000017162A,2026-09-09,2.74,41.96,100.0,23.5,21.1,84.0,83.0,1012.9,1011.2,8.0,0.0,21.1,84.0,148.0,0.0,0.0,xml_feed
Montfullà (Girona),ESCAT1700000017162C,2026-09-09,2.76,41.96,180.0,23.6,21.7,89.0,79.0,1012.7,1011.3,10.0,0.0,21.7,80.0,41.0,2.0,0.0,xml_feed
El Pasteral  (Girona),ESCAT1700000017166E,2026-09-09,2.61,41.99,172.0,21.9,19.6,99.0,99.0,1011.9,1010.1,2.0,0.0,19.9,99.0,90.0,0.0,0.0,xml_feed
Sant Feliu de Pallerols (Girona),ESCAT1700000017174A,2026-09-09,2.51,42.08,488.0,20.0,18.3,99.0,97.0,1011.7,1009.0,10.0,0.0,18.4,99.0,283.0,3.0,0.0,xml_feed
Sant Esteve d'en Bas (Girona),ESCAT1700000017176B,2026-09-09,2.46,42.12,,20.2,18.7,98.0,96.0,1013.4,1011.3,5.0,,18.8,97.0,276.0,0.0,,xml_feed
La Vall d'en Bas - Mallol (Girona),ESCAT1700000017178B,2026-09-09,2.44,42.15,462.0,20.4,18.5,95.0,92.0,1009.6,1006.7,8.0,0.0,18.5,95.0,340.0,0.0,0.0,xml_feed
Vilablareix (Girona),ESCAT1700000017180A,2026-09-09,2.79,41.95,107.0,25.8,22.7,89.0,74.0,1014.2,1011.8,16.0,0.0,22.9,74.0,67.0,6.0,0.0,xml_feed
Vilablareix - Centre (Girona),ESCAT1700000017190B,2026-09-09,2.81,41.95,100.0,24.3,22.9,86.0,68.0,1011.8,1010.3,16.0,0.0,23.0,68.0,19.0,6.0,0.0,xml_feed
Canet d'Adri - Centre (Girona),ESCAT1700000017199A,2026-09-09,2.74,42.03,225.0,23.2,20.5,87.0,81.0,1012.5,1010.8,9.0,0.0,20.7,86.0,154.0,0.0,0.0,xml_feed
Canet d'Adri- Can Vicens (Girona),ESCAT1700000017199D,2026-09-09,2.75,42.04,190.0,25.1,20.4,93.0,86.0,1013.7,1011.8,2.0,0.0,20.4,93.0,90.0,0.0,0.0,xml_feed
Palafrugell (Girona),ESCAT1700000017200C,2026-09-09,3.16,41.91,45.0,26.2,23.4,80.0,67.0,1013.1,1010.7,19.0,0.0,23.8,68.0,23.0,11.0,0.0,xml_feed
Palafrugell Joan Capri 93 (Girona),ESCAT1700000017200H,2026-09-09,3.15,41.93,75.0,23.9,21.4,83.0,72.0,1013.8,1012.1,0.0,0.0,21.7,74.0,0.0,0.0,0.0,xml_feed
Palamós - Sant Joan (Girona),ESCAT1700000017230C,2026-09-09,3.12,41.86,30.0,25.1,23.9,76.0,55.0,1013.1,1010.8,22.0,0.0,24.3,55.0,9.0,7.0,0.0,xml_feed
Palamós - La Fosca (Girona),ESCAT1700000017230D,2026-09-09,3.14,41.86,20.0,24.4,23.4,81.0,64.0,1013.1,1011.0,24.0,0.0,23.9,64.0,56.0,5.0,0.0,xml_feed
