name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-08,2.18,41.38,31.0,33.1,25.0,83.0,53.0,1017.3,1008.9,24.0,0.0,28.9,72.0,124.0,1.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-08,2.21,41.41,25.0,32.2,23.1,89.0,60.0,1019.0,1010.0,18.0,0.0,28.7,75.0,251.0,1.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-08,2.18,41.4,45.0,31.8,25.4,84.0,53.0,1019.1,1010.0,33.0,0.0,29.0,66.0,164.0,0.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-08,2.17,41.4,29.0,32.4,24.6,81.0,51.0,1021.7,1013.3,26.0,0.0,28.9,66.0,123.0,1.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-08,-41.64,21.97,,33.1,25.4,84.0,52.0,1019.1,1010.5,26.0,0.0,28.9,67.0,208.0,1.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-08,2.16,41.4,78.0,30.9,25.4,84.0,53.0,1018.9,1010.6,32.0,0.0,29.2,56.0,30.0,2.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-08,2.14,41.38,45.0,32.3,25.0,85.0,52.0,1018.4,1009.6,26.0,0.0,28.6,66.0,196.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-08,2.13,41.38,61.0,31.7,25.7,82.0,47.0,1018.4,1010.2,32.0,0.0,28.8,60.0,281.0,0.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-08,2.14,41.37,40.0,30.8,24.9,87.0,58.0,1019.2,1010.4,32.0,0.0,28.6,68.0,291.0,2.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-08,2.14,41.37,39.0,32.4,25.2,83.0,54.0,1018.9,1010.3,7.0,0.0,29.0,65.0,151.0,1.0,0.0,xml_feed
