name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-11,2.18,41.38,31.0,27.9,20.8,70.0,54.0,1020.2,1015.5,17.0,0.0,25.4,66.0,162.0,0.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-11,2.21,41.41,25.0,28.2,18.9,79.0,65.0,1021.0,1016.0,13.0,0.0,24.4,78.0,56.0,0.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-11,2.18,41.4,45.0,25.2,22.0,69.0,66.0,1020.9,1016.2,9.0,0.0,24.8,67.0,137.0,0.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-11,2.17,41.4,29.0,27.4,20.7,70.0,56.0,1023.9,1019.6,26.0,0.0,24.8,70.0,200.0,0.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-11,-41.64,21.97,,28.0,21.1,69.0,53.0,1021.7,1017.4,22.0,0.0,25.0,67.0,206.0,0.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-11,2.16,41.4,78.0,26.6,20.4,71.0,60.0,1021.3,1017.2,27.0,0.0,24.8,68.0,180.0,0.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-11,2.14,41.38,45.0,27.9,21.4,71.0,54.0,1020.6,1016.2,24.0,0.0,24.8,67.0,147.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-11,2.13,41.38,61.0,27.0,21.5,68.0,51.0,1021.1,1017.1,29.0,0.0,25.1,62.0,136.0,0.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-11,2.14,41.37,40.0,27.3,21.6,72.0,58.0,1021.3,1016.9,29.0,0.0,25.0,69.0,136.0,0.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-11,2.14,41.37,39.0,27.8,21.7,69.0,56.0,1021.6,1017.2,7.0,0.0,25.2,66.0,170.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-11,2.13,41.4,80.0,29.3,20.2,75.0,49.0,1019.5,1015.0,7.0,0.0,23.4,71.0,304.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-11,2.1,41.43,320.0,25.9,15.7,88.0,60.0,1020.8,1016.2,18.0,0.0,20.7,80.0,150.0,0.0,0.0,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-11,2.19,41.4,18.0,27.4,20.3,70.0,57.0,1018.9,1014.7,24.0,0.0,25.3,70.0,138.0,0.0,0.0,xml_feed
Barcelona - Sant Martí (Barcelona),ESCAT0800000008018E,2026-09-11,2.19,41.41,20.0,27.3,19.6,76.0,63.0,1019.2,1015.0,23.0,0.0,25.2,76.0,131.0,0.0,0.0,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-11,2.12,41.42,512.0,23.1,17.8,85.0,68.0,1023.6,1019.2,34.0,0.0,20.6,80.0,90.0,0.0,0.0,xml_feed
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-11,2.15,41.41,135.0,26.4,18.3,78.0,59.0,1022.9,1018.5,27.0,0.0,22.3,77.0,0.0,0.0,0.0,xml_feed
Barcelona - Sant Gervasi (Barcelona),ESCAT0800000008023I,2026-09-11,2.14,41.41,160.0,26.2,19.4,75.0,58.0,1019.9,1015.6,32.0,0.0,23.3,74.0,253.0,1.0,0.0,xml_feed
Barcelona - Gràcia (Barcelona),ESCAT0800000008024A,2026-09-11,2.16,41.41,105.0,26.8,20.2,74.0,60.0,1021.1,1016.7,27.0,0.0,24.3,73.0,47.0,0.0,0.0,xml_feed
Barcelona-Sagrada Familia (Barcelona),ESCAT0800000008025A,2026-09-11,2.18,41.41,60.0,27.4,20.1,72.0,53.0,1023.5,1019.0,18.0,0.0,24.5,71.0,0.0,0.0,0.0,xml_feed
Barcelona Camp de l'Arpa (Barcelona),ESCAT0800000008026C,2026-09-11,2.18,41.41,34.0,28.8,20.0,69.0,49.0,1023.8,1019.5,18.0,0.0,24.6,69.0,16.0,0.0,0.0,xml_feed
Barcelona-TorGuineu Navas (Barcelona),ESCAT0800000008027C,2026-09-11,2.19,41.42,,26.6,17.8,76.0,40.0,1024.7,1016.2,35.0,,24.7,68.0,50.0,4.0,,xml_feed
Barcelona - Bon Pastor  (Barcelona),ESCAT0800000008030C,2026-09-11,2.21,41.44,18.0,27.1,17.5,80.0,57.0,1020.5,1016.3,24.0,0.0,24.4,77.0,0.0,0.0,0.0,xml_feed
Barcelona - Casa  l'Aigua (Barcelona),ESCAT0800000008030E,2026-09-11,2.19,41.45,70.0,27.0,16.5,82.0,58.0,1020.8,1016.5,,0.0,23.2,78.0,,,0.0,xml_feed
Barcelona - Horta (Barcelona),ESCAT0800000008032A,2026-09-11,2.15,41.43,100.0,28.4,18.2,79.0,56.0,1019.6,1015.5,22.0,0.0,22.6,79.0,247.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008034A,2026-09-11,2.12,41.39,,27.2,20.2,75.0,56.0,1020.0,1015.6,,,23.4,71.0,,,,xml_feed
Badalona - Llefià (Barcelona),ESCAT0800000008080A,2026-09-11,2.23,41.44,25.0,26.6,18.4,,,1021.9,1017.6,,0.0,24.6,,,,0.0,xml_feed
Mollet  -  Estació França (Barcelona),ESCAT0800000008100C,2026-09-11,2.22,41.53,65.0,27.1,16.6,77.0,50.0,1023.8,1019.6,26.0,0.0,23.2,73.0,68.0,0.0,0.0,xml_feed
Sant Fost - Mas Llombart (Barcelona),ESCAT0800000008105B,2026-09-11,2.24,41.5,175.0,26.4,14.1,66.0,45.0,1022.6,1018.3,31.0,0.0,20.2,59.0,112.0,0.0,0.0,xml_feed
Sant Fost - Mas Corts (Barcelona),ESCAT0800000008105C,2026-09-11,2.25,41.5,300.0,26.1,15.9,84.0,56.0,1021.9,1017.7,31.0,0.0,20.8,84.0,96.0,2.0,0.0,xml_feed
Santa Perpètua de Mogoda (Barcelona),ESCAT0800000008130A,2026-09-11,2.19,41.52,70.0,29.4,15.4,89.0,56.0,1019.8,1015.3,22.0,0.0,22.5,84.0,140.0,0.0,0.0,xml_feed
Parets del Vallès (Barcelona),ESCAT0800000008150A,2026-09-11,2.22,41.56,123.0,26.9,15.4,82.0,55.0,,,31.0,0.0,22.3,78.0,117.0,2.0,0.0,xml_feed
Montmeló-T.de la Bandera (Barcelona),ESCAT0800000008160A,2026-09-11,2.25,41.56,112.0,28.8,15.6,80.0,51.0,1019.3,1015.4,21.0,0.0,22.3,77.0,100.0,0.0,0.0,xml_feed
Montornés del V. - Lluch (Barcelona),ESCAT0800000008170B,2026-09-11,2.25,41.55,116.0,29.2,14.8,84.0,51.0,1025.3,1020.8,,0.0,21.6,79.0,,,0.0,xml_feed
Collsuspina - Centre (Barcelona),ESCAT0800000008178B,2026-09-11,2.18,41.83,901.0,27.1,9.0,99.0,33.0,1022.9,1018.4,31.0,0.0,15.4,94.0,190.0,0.0,0.0,xml_feed
Moià Alt (Barcelona),ESCAT0800000008180B,2026-09-11,2.1,41.82,824.0,26.8,10.6,100.0,29.0,1023.3,1014.5,15.0,0.0,16.4,92.0,135.0,0.0,0.0,xml_feed
Moià - Oest (Barcelona),ESCAT0800000008180E,2026-09-11,2.09,41.81,735.0,27.8,12.6,88.0,28.0,1023.6,1019.2,16.0,0.0,18.1,88.0,0.0,0.0,0.0,xml_feed
Castellcir (Barcelona),ESCAT0800000008183C,2026-09-11,2.15,41.76,785.0,26.0,12.2,95.0,31.0,,,,0.0,16.9,95.0,,,0.0,xml_feed
Palau-solità i P. Cortés (Barcelona),ESCAT0800000008184C,2026-09-11,2.18,41.59,125.0,27.4,15.5,87.0,54.0,1021.3,1017.0,37.0,0.0,22.7,82.0,340.0,0.0,0.0,xml_feed
Vallromanes - Est (Barcelona),ESCAT0800000008188B,2026-09-11,2.31,41.53,220.0,25.3,14.1,93.0,69.0,1022.1,1017.9,27.0,0.0,20.1,92.0,112.0,0.0,0.0,xml_feed
