name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Agullana  (Girona),ESCAT1700000017707A,2026-09-07,2.85,42.39,170,32.5,20.3,79,42,1018.7,1015.6,23,0,30.6,56,119,6,0,current_download
Albanyà - Can Rossinyol (Girona),ESCAT1700000017733B,2026-09-07,2.72,42.3,239,35.3,16.7,87,44,1023.3,1019.8,27,0,32.1,54,171,5,0,current_download
Alella-Mirador (Barcelona),ESCAT0800000008328F,2026-09-07,2.29,41.49,290,29.9,23.8,NA,NA,1020.6,1017.9,NA,0,27.2,NA,NA,NA,0,current_download
Almoster - Picarany (Tarragona),ESCAT4300000043393E,2026-09-07,1.1,41.2,348,31.1,23.2,91,29,1022.5,1019.7,19,0,28.6,61,236,6,0,current_download
Almoster - Sud (Tarragona),ESCAT4300000043393C,2026-09-07,1.11,41.19,255,30.9,22.3,82,47,1023.4,1020.7,24,0,29.3,66,214,8,0,current_download
Arenys de Mar (Barcelona),ESCAT0800000008350A,2026-09-07,2.56,41.59,85,32.2,22.4,88,63,1019.9,1017.1,8,0,28.9,68,224,0,0,current_download
Arenys de Munt (Barcelona),ESCAT0800000008358A,2026-09-07,2.54,41.61,149,29.2,21.1,76,62,1023.7,1020.8,23,0,28.7,63,167,7,0,current_download
Argentona (Barcelona),ESCAT0800000008310B,2026-09-07,2.39,41.56,127,30.9,22.1,85,63,1022.1,1019.2,18,0,28.6,69,123,3,0,current_download
Artesa de Segre (Lleida),ESCAT2500000025730C,2026-09-07,1.04,41.89,330,37.2,14.7,78,20,1025.3,1019.9,26,0,36.6,27,226,1,0,current_download
Avià (Barcelona),ESCAT0800000008610B,2026-09-07,1.83,42.08,677,34.8,22.8,46,21,1021.1,1016.7,NA,0,32.8,33,NA,NA,0,current_download
Avià - Sud (Barcelona),ESCAT0800000008610A,2026-09-07,1.83,42.07,660,35,21.4,NA,NA,1032.6,1025.7,33,0,32.1,NA,135,12,0,current_download
Badalona - BCIN (Barcelona),ESCAT0800000008915C,2026-09-07,2.26,41.46,81,27.9,24.3,89,72,1025.2,1022.4,24,0,27.6,77,157,4,0,current_download
Badalona - Bufalà (Barcelona),ESCAT0800000008915A,2026-09-07,2.24,41.46,65,31.2,23.9,82,60,1021.9,1018.9,13,0,27.2,67,0,0,0,current_download
Badalona - Centre (Barcelona),ESCAT0800000008912A,2026-09-07,2.25,41.45,30,28.4,24.8,85,72,1023,1020.1,14,0,27.8,78,156,3,0,current_download
Badalona - Dalt la Vila (Barcelona),ESCAT0800000008911C,2026-09-07,2.26,41.46,37,29.1,23.5,87,64,1024.5,1021.1,17,0,28,72,186,4,0,current_download
Badalona - Llefià (Barcelona),ESCAT0800000008080A,2026-09-07,2.23,41.44,25,30.7,23.7,NA,NA,1022.8,1019.9,NA,0,29.1,NA,NA,NA,0,current_download
Badalona - Progres (Barcelona),ESCAT0800000008912B,2026-09-07,2.24,41.45,27,29.2,25.3,84,66,1023,1020,18,0,28.1,75,135,5,0,current_download
Badalona- S.Antoni Llefià (Barcelona),ESCAT0800000008913B,2026-09-07,2.22,41.44,35,30.4,23.2,83,48,1021.9,1018.5,20,0,28.7,61,176,6,0,current_download
Bagà (centre) (Barcelona),ESCAT0800000008695C,2026-09-07,1.86,42.25,798,34.7,12.9,74,28,1021.3,1017.1,23,0,32.5,36,135,10,0,current_download
Bagà (nord) (Barcelona),ESCAT0800000008695A,2026-09-07,1.86,42.26,865,35.1,14.6,65,23,1026.7,1022.8,19,0,31.2,33,112,2,0,current_download
Bagà (refugi Rebost) PN (Barcelona),ESCAT0800000008695H,2026-09-07,1.89,42.29,1640,27.4,19.1,40,26,1036.6,1029.6,23,0,24.8,40,45,15,0,current_download
Bagà (sud) (Barcelona),ESCAT0800000008695D,2026-09-07,1.87,42.25,770,34.1,10.1,89,25,1027.8,1023.7,26,0,31.9,33,112,5,0,current_download
Balaguer (Lleida),ESCAT2500000025600A,2026-09-07,0.81,41.79,235,36.8,20,58,25,1021,1016.5,19,0,36.8,29,220,4,0,current_download
Banyeres del Penedès (Tarragona),ESCAT4300000043711A,2026-09-07,1.58,41.28,150,33.3,20.3,91,48,1025,1021.9,14,0,30.8,65,180,5,0,current_download
Banyoles - INS el Pla (Girona),ESCAT1700000017820B,2026-09-07,2.77,42.11,170,34.3,19.8,81,48,1023.2,1019.7,19,0,32.7,52,114,3,0,current_download
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-07,2.18,41.38,31,31,25.2,86,50,1021.2,1017.6,15,0,30,61,201,8,0,current_download
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-07,2.19,41.4,18,30.3,25.3,83,53,1020.1,1017.2,18,0,29.5,59,142,5,0,current_download
Barcelona - Bon Pastor  (Barcelona),ESCAT0800000008030C,2026-09-07,2.21,41.44,18,30.9,22.6,81,51,1021.6,1018.4,15,0,29.2,61,225,1,0,current_download
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-07,2.13,41.38,61,31.1,25.7,84,41,1021.8,1019,23,0,30.1,41,171,8,0,current_download
Barcelona - Casa  l'Aigua (Barcelona),ESCAT0800000008030E,2026-09-07,2.19,41.45,70,30.6,20.9,82,50,1021.5,1018.6,NA,0,29.8,54,NA,NA,0,current_download
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-07,2.19,41.41,36,30.2,24.9,82,51,1021.9,1018.9,18,NA,29.5,57,158,5,NA,current_download
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-07,2.15,41.41,135,30.6,23,89,48,1024.1,1021,15,0,29.9,50,204,6,0,current_download
Barcelona - Gràcia (Barcelona),ESCAT0800000008024A,2026-09-07,2.16,41.41,105,30.6,24.9,91,51,1021.9,1018.9,18,0,30.3,51,153,4,0,current_download
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-07,2.16,41.4,78,29.8,25.4,86,48,1022.1,1019.3,17,0,29.7,50,120,6,0,current_download
Barcelona - Horta (Barcelona),ESCAT0800000008032A,2026-09-07,2.15,41.43,100,32.2,23.1,90,48,1020.5,1017.4,17,0,31.9,49,180,6,0,current_download
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-07,2.14,41.37,39,31.3,25.8,85,46,1022.5,1019,9,0,31.1,52,181,0,0,current_download
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-07,2.18,41.4,45,30.6,25.4,85,47,1022.1,1018.8,20,0,30,51,145,9,0,current_download
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-07,2.21,41.41,25,31.2,23.9,89,69,1022,1019,10,0,31.2,69,254,0,0,current_download
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-07,2.17,41.4,29,30.7,25.5,86,50,1025.9,1022.2,15,0,30.2,51,264,2,0,current_download
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-07,2.1,41.43,320,31.6,22.5,79,44,1021.9,1019,19,0,31.2,48,163,1,0,current_download
