name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-12,2.18,41.38,31.0,29.1,22.3,80.0,53.0,1021.0,1019.1,22.0,0.0,25.3,69.0,146.0,0.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-12,2.21,41.41,25.0,27.8,20.6,90.0,64.0,1022.0,1020.0,12.0,0.0,24.5,75.0,247.0,0.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-12,2.18,41.4,45.0,27.7,22.4,79.0,55.0,1022.1,1020.1,30.0,0.0,25.0,69.0,177.0,4.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-12,2.17,41.4,29.0,27.9,22.0,81.0,55.0,1025.3,1023.2,20.0,0.0,24.8,70.0,240.0,3.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-12,-41.64,21.97,,29.9,22.5,80.0,51.0,1022.8,1021.0,26.0,0.0,24.7,70.0,264.0,4.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-12,2.16,41.4,78.0,26.9,21.9,80.0,58.0,1022.2,1020.8,26.0,0.0,24.7,70.0,236.0,3.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-12,2.14,41.38,45.0,28.1,22.3,81.0,55.0,1021.7,1020.1,27.0,0.0,24.8,69.0,232.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-12,2.13,41.38,61.0,27.6,22.7,78.0,50.0,1022.3,1020.7,32.0,0.0,24.9,65.0,266.0,2.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-12,2.14,41.37,40.0,27.4,22.1,81.0,57.0,1022.5,1020.9,29.0,0.0,24.9,71.0,257.0,3.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-12,2.14,41.37,39.0,28.4,22.6,79.0,54.0,1022.9,1020.8,9.0,0.0,25.2,69.0,214.0,1.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-12,2.13,41.4,80.0,29.4,21.6,80.0,51.0,1020.7,1018.7,7.0,0.0,24.0,70.0,308.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-12,2.1,41.43,320.0,26.2,17.7,93.0,62.0,1022.0,1020.2,18.0,0.0,20.8,82.0,108.0,0.0,0.0,xml_feed
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-12,2.19,41.41,,27.3,21.9,79.0,57.0,1022.0,1020.5,29.0,,25.1,68.0,158.0,2.0,,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-12,2.19,41.4,18.0,28.3,22.1,79.0,54.0,1020.3,1018.8,27.0,0.0,25.2,67.0,225.0,2.0,0.0,xml_feed
Barcelona - Sant Martí (Barcelona),ESCAT0800000008018E,2026-09-12,2.19,41.41,20.0,28.1,21.5,83.0,62.0,1020.5,1019.0,24.0,0.0,25.1,74.0,141.0,0.0,0.0,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-12,2.12,41.42,512.0,23.4,18.8,90.0,70.0,1024.5,1022.9,37.0,0.0,20.1,84.0,247.0,2.0,0.0,xml_feed
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-12,2.15,41.41,135.0,26.7,20.1,87.0,59.0,1023.9,1022.5,22.0,0.0,23.4,73.0,205.0,1.0,0.0,xml_feed
Barcelona - Sant Gervasi (Barcelona),ESCAT0800000008023I,2026-09-12,2.14,41.41,160.0,26.6,21.1,84.0,58.0,1021.1,1019.4,29.0,0.0,23.4,73.0,315.0,1.0,0.0,xml_feed
Barcelona - Gràcia (Barcelona),ESCAT0800000008024A,2026-09-12,2.16,41.41,105.0,26.8,21.6,84.0,59.0,1022.2,1020.6,35.0,0.0,24.2,73.0,316.0,2.0,0.0,xml_feed
Barcelona-Sagrada Familia (Barcelona),ESCAT0800000008025A,2026-09-12,2.18,41.41,60.0,29.1,21.8,80.0,54.0,1024.6,1022.7,24.0,0.0,24.5,70.0,240.0,1.0,0.0,xml_feed
Barcelona Camp de l'Arpa (Barcelona),ESCAT0800000008026C,2026-09-12,2.18,41.41,34.0,29.1,21.7,77.0,48.0,1024.9,1023.1,20.0,0.0,24.7,66.0,15.0,0.0,0.0,xml_feed
Barcelona-TorGuineu Navas (Barcelona),ESCAT0800000008027C,2026-09-12,2.19,41.42,,26.9,21.4,78.0,53.0,1025.8,1023.9,33.0,,24.6,66.0,41.0,3.0,,xml_feed
Barcelona - Bon Pastor  (Barcelona),ESCAT0800000008030C,2026-09-12,2.21,41.44,18.0,28.4,19.7,88.0,56.0,1021.8,1019.9,24.0,0.0,23.9,73.0,22.0,1.0,0.0,xml_feed
Barcelona - Casa  l'Aigua (Barcelona),ESCAT0800000008030E,2026-09-12,2.19,41.45,70.0,27.7,18.4,90.0,55.0,1021.9,1020.2,,0.0,23.1,73.0,,,0.0,xml_feed
Barcelona - Horta (Barcelona),ESCAT0800000008032A,2026-09-12,2.15,41.43,100.0,29.0,20.1,86.0,55.0,1020.8,1019.0,24.0,0.0,23.3,75.0,157.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008034A,2026-09-12,2.12,41.39,,27.7,21.3,81.0,56.0,1021.2,1019.5,,,23.7,72.0,,,,xml_feed
Badalona - Llefià (Barcelona),ESCAT0800000008080A,2026-09-12,2.23,41.44,25.0,27.5,20.2,,,1023.1,1021.4,,0.0,24.3,,,,0.0,xml_feed
Mollet  -  Estació França (Barcelona),ESCAT0800000008100C,2026-09-12,2.22,41.53,65.0,27.7,18.6,88.0,47.0,1024.9,1023.3,29.0,0.0,23.0,65.0,90.0,0.0,0.0,xml_feed
Sant Fost - Mas Corts (Barcelona),ESCAT0800000008105C,2026-09-12,2.25,41.5,300.0,26.9,17.7,89.0,57.0,1023.0,1021.4,31.0,0.0,20.4,77.0,316.0,0.0,0.0,xml_feed
Santa Perpètua de Mogoda (Barcelona),ESCAT0800000008130A,2026-09-12,2.19,41.52,70.0,29.6,17.9,95.0,54.0,1020.9,1018.7,24.0,0.0,22.3,78.0,115.0,0.0,0.0,xml_feed
Parets del Vallès (Barcelona),ESCAT0800000008150A,2026-09-12,2.22,41.56,123.0,27.7,17.6,89.0,51.0,,,33.0,0.0,22.0,73.0,92.0,4.0,0.0,xml_feed
Montmeló-T.de la Bandera (Barcelona),ESCAT0800000008160A,2026-09-12,2.25,41.56,112.0,29.4,17.8,87.0,51.0,1020.4,1018.8,21.0,0.0,21.8,73.0,110.0,2.0,0.0,xml_feed
Montornés del V. - Lluch (Barcelona),ESCAT0800000008170B,2026-09-12,2.25,41.55,116.0,29.1,17.3,90.0,52.0,1026.3,1024.1,,0.0,21.0,76.0,,,0.0,xml_feed
Collsuspina - Centre (Barcelona),ESCAT0800000008178B,2026-09-12,2.18,41.83,901.0,26.3,12.3,99.0,47.0,1023.5,1021.4,35.0,0.0,15.6,91.0,196.0,0.0,0.0,xml_feed
Moià Alt (Barcelona),ESCAT0800000008180B,2026-09-12,2.1,41.82,824.0,27.6,14.1,94.0,38.0,1024.8,1022.1,12.0,0.2,15.9,90.0,135.0,0.0,0.2,xml_feed
Moià - Oest (Barcelona),ESCAT0800000008180E,2026-09-12,2.09,41.81,735.0,28.1,13.5,88.0,37.0,1024.8,1022.9,18.0,0.0,17.6,86.0,0.0,0.0,0.0,xml_feed
Castellcir (Barcelona),ESCAT0800000008183C,2026-09-12,2.15,41.76,785.0,26.1,14.0,98.0,47.0,,,,0.0,16.1,90.0,,,0.0,xml_feed
Palau-solità i P. Cortés (Barcelona),ESCAT0800000008184C,2026-09-12,2.18,41.59,125.0,28.7,17.8,91.0,54.0,1022.4,1020.5,34.0,0.0,23.0,75.0,349.0,0.0,0.0,xml_feed
Vallromanes - Est (Barcelona),ESCAT0800000008188B,2026-09-12,2.31,41.53,220.0,26.1,16.8,98.0,68.0,1023.1,1021.5,27.0,0.0,19.4,89.0,112.0,0.0,0.0,xml_feed
Rubí - Andromeda (Barcelona),ESCAT0800000008191B,2026-09-12,2.04,41.49,150.0,28.3,18.0,92.0,53.0,1021.5,1019.4,33.0,0.0,23.1,75.0,269.0,6.0,0.0,xml_feed
Rubí - Pl S.Allende (Barcelona),ESCAT0800000008191E,2026-09-12,2.03,41.49,130.0,28.9,17.2,95.0,55.0,1021.3,1019.1,22.0,0.0,21.9,82.0,303.0,1.0,0.0,xml_feed
Rubí - La Serreta (Barcelona),ESCAT0800000008191F,2026-09-12,2.04,41.5,180.0,28.1,17.8,94.0,55.0,1024.5,1022.2,31.0,0.0,22.4,80.0,274.0,0.0,0.0,xml_feed
St Quirze del V -VallSuau (Barcelona),ESCAT0800000008192A,2026-09-12,2.07,41.53,230.0,28.3,18.0,90.0,39.0,1023.3,1020.9,24.0,0.0,21.5,74.0,225.0,3.0,0.0,xml_feed
Sant Quirze del Vallés  (Barcelona),ESCAT0800000008192B,2026-09-12,2.09,41.53,,28.6,18.8,79.0,49.0,1020.9,1018.9,7.0,0.0,23.5,70.0,0.0,0.0,0.0,xml_feed
Valldoreix (Barcelona),ESCAT0800000008195A,2026-09-12,2.04,41.46,120.0,27.8,16.6,91.0,54.0,1024.4,1022.4,24.0,0.0,21.7,78.0,88.0,0.0,0.0,xml_feed
Sant Cugat Vallès-Mirasol (Barcelona),ESCAT0800000008195B,2026-09-12,2.04,41.47,110.0,28.4,17.2,94.0,59.0,1023.1,1020.7,20.0,0.0,22.2,81.0,135.0,0.0,0.0,xml_feed
S. Cugat Val. La Floresta (Barcelona),ESCAT0800000008198A,2026-09-12,2.08,41.45,217.0,28.3,17.8,,,1024.3,1022.3,,0.0,21.8,,,,0.0,xml_feed
Sabadell - Rambla (Barcelona),ESCAT0800000008201C,2026-09-12,2.11,41.54,179.0,30.1,18.8,83.0,44.0,1023.4,1021.0,15.0,0.0,23.4,65.0,265.0,0.0,0.0,xml_feed
Sabadell - Centre (Barcelona),ESCAT0800000008202B,2026-09-12,2.11,41.55,197.0,28.3,18.3,88.0,55.0,1023.1,1020.9,31.0,0.0,23.1,74.0,126.0,0.0,0.0,xml_feed
Sabadell - Viena II (Barcelona),ESCAT0800000008206A,2026-09-12,2.08,41.56,,34.1,17.6,89.0,40.0,1021.1,1018.5,,,22.2,72.0,,,,xml_feed
Sabadell - Can Rull (Barcelona),ESCAT0800000008206G,2026-09-12,2.09,41.56,225.0,27.9,18.0,86.0,41.0,1022.3,1020.1,28.0,0.0,22.7,68.0,315.0,5.0,0.0,xml_feed
Castellar del Vallès (Barcelona),ESCAT0800000008211B,2026-09-12,2.09,41.62,331.0,28.8,17.6,88.0,44.0,1025.0,1023.0,26.0,0.0,21.4,72.0,23.0,0.0,0.0,xml_feed
Terrassa - Plaça Nova (Barcelona),ESCAT0800000008221B,2026-09-12,2.02,41.56,285.0,27.7,18.6,85.0,46.0,1020.0,1017.9,29.0,0.0,22.6,75.0,158.0,0.0,0.0,xml_feed
Terrassa - Ca n'Aurell (Barcelona),ESCAT0800000008224A,2026-09-12,2.0,41.57,300.0,27.6,17.9,89.0,51.0,1022.8,1020.7,23.0,0.0,22.6,78.0,172.0,0.0,0.0,xml_feed
