name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-14,2.18,41.38,31.0,32.7,22.7,76.0,41.0,1020.6,1016.9,29.0,0.0,27.2,53.0,163.0,1.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-14,2.21,41.41,25.0,31.1,20.7,88.0,44.0,1022.0,1018.0,21.0,0.0,26.4,66.0,235.0,1.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-14,2.18,41.4,45.0,31.6,22.9,76.0,42.0,1022.1,1017.9,24.0,0.0,27.0,49.0,167.0,4.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-14,2.17,41.4,29.0,33.0,21.9,77.0,40.0,1024.9,1021.1,22.0,0.0,27.5,45.0,169.0,2.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-14,2.16,41.38,,32.4,22.8,77.0,40.0,1022.3,1018.6,24.0,0.0,26.9,48.0,263.0,5.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-14,2.16,41.4,78.0,30.4,22.8,76.0,44.0,1021.7,1018.3,27.0,0.0,27.5,44.0,223.0,2.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-14,2.14,41.38,45.0,31.8,22.9,75.0,40.0,1021.7,1017.7,24.0,0.0,26.8,53.0,205.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-14,2.13,41.38,61.0,31.4,22.6,73.0,33.0,1021.7,1018.2,29.0,0.0,26.8,42.0,236.0,2.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-14,2.14,41.37,40.0,30.2,22.9,77.0,46.0,1022.5,1018.5,31.0,0.0,26.7,56.0,273.0,3.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-14,2.14,41.37,39.0,31.3,23.0,74.0,43.0,1022.3,1018.5,5.0,0.0,26.8,53.0,189.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-14,2.13,41.4,80.0,32.8,21.7,77.0,34.0,1020.2,1016.6,7.0,0.0,26.1,43.0,299.0,0.0,0.0,xml_feed
