name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-19,2.18,41.38,31.0,27.8,20.3,83.0,56.0,1022.0,1017.3,20.0,0.0,24.3,71.0,156.0,0.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-19,2.21,41.41,25.0,27.5,19.4,92.0,64.0,1023.0,1018.0,13.0,0.0,24.2,79.0,262.0,0.0,0.0,xml_feed
Barcelona - Augusta (Barcelona),ESCAT0800000008006A,2026-09-19,2.16,41.4,,27.6,21.0,76.0,49.0,1026.4,1021.9,18.0,0.0,24.0,66.0,25.0,0.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-19,2.18,41.4,45.0,26.8,20.8,80.0,57.0,1023.1,1018.2,22.0,0.0,24.1,71.0,209.0,4.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-19,2.17,41.4,29.0,27.4,20.2,83.0,58.0,1025.7,1021.1,18.0,0.0,24.1,71.0,244.0,1.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-19,2.16,41.38,,28.1,20.9,78.0,55.0,1023.8,1019.3,20.0,0.0,24.0,71.0,254.0,4.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-19,2.16,41.4,78.0,26.1,20.9,79.0,59.0,1023.3,1019.0,26.0,0.0,23.8,71.0,270.0,1.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-19,2.14,41.38,45.0,27.4,20.7,81.0,54.0,1022.6,1018.2,24.0,0.0,23.7,72.0,158.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-19,2.13,41.38,61.0,26.8,21.2,76.0,52.0,1023.0,1019.0,27.0,0.0,24.0,67.0,196.0,0.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-19,2.14,41.37,40.0,26.5,20.4,83.0,59.0,1023.4,1018.9,29.0,0.0,23.8,74.0,132.0,0.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-19,2.14,41.37,39.0,27.1,21.0,79.0,57.0,1023.7,1019.2,5.0,0.0,24.4,70.0,189.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-19,2.13,41.4,80.0,27.9,20.3,78.0,53.0,1021.7,1016.9,7.0,0.0,22.8,73.0,317.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-19,2.1,41.43,320.0,25.3,16.3,92.0,63.0,1022.7,1018.2,19.0,0.0,19.7,84.0,229.0,0.0,0.0,xml_feed
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-19,2.19,41.41,,26.8,19.8,84.0,58.0,1023.0,1018.6,24.0,,24.3,72.0,0.0,0.0,,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-19,2.19,41.4,18.0,27.4,20.2,83.0,57.0,1021.1,1016.8,26.0,0.0,24.6,72.0,149.0,3.0,0.0,xml_feed
Barcelona - Sant Martí (Barcelona),ESCAT0800000008018E,2026-09-19,2.19,41.41,20.0,26.9,19.5,86.0,66.0,1021.4,1017.1,26.0,0.0,24.4,77.0,155.0,0.0,0.0,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-19,2.12,41.42,512.0,22.7,17.6,88.0,70.0,1025.5,1021.0,37.0,0.0,19.4,84.0,225.0,0.0,0.0,xml_feed
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-19,2.15,41.41,135.0,26.3,18.9,86.0,60.0,1024.8,1020.4,22.0,0.0,21.7,80.0,0.0,0.0,0.0,xml_feed
Barcelona - Sant Gervasi (Barcelona),ESCAT0800000008023I,2026-09-19,2.14,41.41,160.0,26.2,20.0,80.0,59.0,1022.0,1017.4,26.0,0.0,22.5,75.0,293.0,0.0,0.0,xml_feed
Barcelona - Gràcia (Barcelona),ESCAT0800000008024A,2026-09-19,2.16,41.41,105.0,26.0,20.3,83.0,62.0,1023.2,1018.6,34.0,0.0,23.4,75.0,231.0,0.0,0.0,xml_feed
Barcelona-Sagrada Familia (Barcelona),ESCAT0800000008025A,2026-09-19,2.18,41.41,60.0,28.2,20.0,82.0,55.0,1025.5,1020.8,18.0,0.0,23.8,71.0,266.0,0.0,0.0,xml_feed
