name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-18,2.18,41.38,31.0,26.0,19.0,94.0,62.0,1017.0,1013.2,26.0,6.1,23.2,74.0,159.0,0.0,6.1,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-18,2.21,41.41,25.0,26.2,19.0,98.0,68.0,1018.0,1014.0,18.0,6.0,22.8,80.0,254.0,0.0,6.0,xml_feed
Barcelona - Augusta (Barcelona),ESCAT0800000008006A,2026-09-18,2.16,41.4,,26.3,19.6,89.0,54.0,1021.5,1017.7,17.0,0.0,22.6,70.0,347.0,0.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-18,2.18,41.4,45.0,25.2,19.1,91.0,62.0,1017.9,1014.2,24.0,0.5,22.9,73.0,289.0,7.0,0.5,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-18,2.17,41.4,29.0,25.3,18.5,95.0,63.0,1020.9,1017.2,22.0,4.5,22.9,74.0,244.0,1.0,4.5,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-18,2.16,41.38,,26.7,19.4,91.0,58.0,1018.9,1015.1,22.0,3.9,22.9,73.0,280.0,5.0,3.9,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-18,2.16,41.4,78.0,24.1,18.9,91.0,65.0,1018.4,1015.0,28.0,0.0,22.6,75.0,277.0,2.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-18,2.14,41.38,45.0,25.7,19.4,89.0,59.0,1017.7,1014.2,23.0,3.4,22.9,73.0,250.0,0.0,3.4,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-18,2.13,41.38,61.0,25.4,19.7,88.0,55.0,1018.1,1014.8,27.0,0.8,22.8,70.0,267.0,0.0,0.8,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-18,2.14,41.37,40.0,25.2,18.6,96.0,63.0,1018.6,1015.0,29.0,2.4,23.0,75.0,293.0,2.0,2.4,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-18,2.14,41.37,39.0,26.0,19.8,88.0,59.0,1018.9,1014.9,7.0,4.6,23.3,72.0,188.0,1.0,4.6,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-18,2.13,41.4,80.0,27.6,20.0,85.0,51.0,1017.0,1012.9,9.0,0.0,21.7,75.0,246.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-18,2.1,41.43,320.0,23.8,16.1,92.0,62.0,1017.8,1014.2,18.0,0.0,19.1,85.0,211.0,0.0,0.0,xml_feed
