name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-15,2.18,41.38,31.0,33.0,24.2,70.0,40.0,1018.3,1014.7,22.0,0.0,27.3,57.0,171.0,2.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-15,2.21,41.41,25.0,31.1,22.4,77.0,53.0,1019.0,1016.0,13.0,0.0,26.2,66.0,252.0,0.0,0.0,xml_feed
Barcelona - Augusta (Barcelona),ESCAT0800000008006A,2026-09-15,2.16,41.4,,32.4,24.5,61.0,33.0,1022.4,1019.0,13.0,0.0,27.0,38.0,38.0,0.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-15,2.18,41.4,45.0,31.8,24.5,65.0,40.0,1019.4,1015.8,24.0,0.0,27.4,45.0,202.0,4.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-15,2.17,41.4,29.0,32.4,23.7,68.0,37.0,1022.6,1019.0,22.0,0.0,27.3,45.0,147.0,0.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-15,2.16,41.38,,32.9,23.8,62.0,38.0,1019.8,1016.5,22.0,0.0,26.9,54.0,233.0,0.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-15,2.16,41.4,78.0,31.1,24.5,66.0,41.0,1019.3,1016.2,29.0,0.0,27.1,44.0,272.0,0.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-15,2.14,41.38,45.0,32.1,23.4,63.0,39.0,1018.9,1015.5,24.0,0.0,26.4,60.0,176.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-15,2.13,41.38,61.0,31.5,24.4,57.0,31.0,1019.1,1016.0,27.0,0.0,26.7,41.0,273.0,0.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-15,2.14,41.37,40.0,31.2,23.3,67.0,42.0,1019.8,1016.4,29.0,0.0,26.3,64.0,233.0,0.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-15,2.14,41.37,39.0,31.7,23.7,63.0,42.0,1019.7,1016.4,5.0,0.0,26.5,62.0,174.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-15,2.13,41.4,80.0,34.1,23.6,63.0,33.0,1017.8,1014.3,7.0,0.0,25.1,44.0,308.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-15,2.1,41.43,320.0,31.1,21.1,67.0,33.0,1019.6,1016.2,18.0,0.0,24.3,43.0,104.0,0.0,0.0,xml_feed
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-15,2.19,41.41,,31.9,23.6,66.0,42.0,1019.3,1016.0,21.0,,27.4,45.0,0.0,0.0,,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-15,2.19,41.4,18.0,32.3,23.7,69.0,42.0,1017.3,1014.1,24.0,0.0,26.8,59.0,262.0,0.0,0.0,xml_feed
Barcelona - Sant Martí (Barcelona),ESCAT0800000008018E,2026-09-15,2.19,41.41,20.0,31.4,22.7,73.0,50.0,1017.7,1014.3,29.0,0.0,26.6,56.0,351.0,3.0,0.0,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-15,2.12,41.42,512.0,28.2,22.9,62.0,41.0,1021.8,1018.0,32.0,0.0,24.1,41.0,292.0,7.0,0.0,xml_feed
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-15,2.15,41.41,135.0,31.0,21.7,69.0,38.0,1021.3,1018.2,22.0,0.0,23.6,51.0,0.0,0.0,0.0,xml_feed
Barcelona - Sant Gervasi (Barcelona),ESCAT0800000008023I,2026-09-15,2.14,41.41,160.0,30.9,23.7,63.0,36.0,1018.3,1014.8,29.0,0.0,25.5,44.0,241.0,0.0,0.0,xml_feed
Barcelona - Gràcia (Barcelona),ESCAT0800000008024A,2026-09-15,2.16,41.41,105.0,31.2,23.9,65.0,38.0,1019.4,1016.0,32.0,0.0,26.7,45.0,271.0,1.0,0.0,xml_feed
Barcelona-Sagrada Familia (Barcelona),ESCAT0800000008025A,2026-09-15,2.18,41.41,60.0,33.2,23.3,67.0,39.0,1022.0,1018.4,20.0,0.0,26.5,48.0,253.0,0.0,0.0,xml_feed
Barcelona Camp de l'Arpa (Barcelona),ESCAT0800000008026C,2026-09-15,2.18,41.41,34.0,33.3,23.4,63.0,33.0,1021.8,1018.4,17.0,0.0,26.9,44.0,356.0,0.0,0.0,xml_feed
