name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-10,2.18,41.38,31.0,27.8,18.9,75.0,43.0,1015.2,1011.4,28.0,0.0,23.7,67.0,152.0,0.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-10,2.21,41.41,25.0,27.4,17.7,96.0,44.0,1016.0,1013.0,20.0,0.0,23.3,70.0,250.0,2.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-10,2.17,41.4,29.0,27.4,18.5,77.0,42.0,1019.2,1015.6,26.0,0.0,23.2,68.0,114.0,0.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-10,-41.64,21.97,,27.5,18.7,74.0,41.0,1016.9,1013.2,22.0,0.0,23.2,67.0,247.0,0.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-10,2.16,41.4,78.0,25.6,18.2,76.0,45.0,1016.4,1013.1,27.0,0.2,23.0,68.0,311.0,4.0,0.2,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-10,2.14,41.38,45.0,26.9,18.1,76.0,42.0,1015.8,1012.6,26.0,0.0,23.4,66.0,214.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-10,2.13,41.38,61.0,26.6,18.0,74.0,36.0,1016.1,1013.0,27.0,0.0,23.2,63.0,232.0,0.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-10,2.14,41.37,40.0,26.1,18.4,79.0,47.0,1016.7,1013.3,32.0,0.0,23.3,69.0,274.0,3.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-10,2.14,41.37,39.0,26.9,18.5,74.0,44.0,1016.9,1013.4,9.0,0.0,23.6,67.0,187.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-10,2.13,41.4,80.0,27.6,17.4,85.0,38.0,1014.8,1011.1,11.0,0.0,22.4,69.0,303.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-10,2.1,41.43,320.0,25.3,13.9,93.0,48.0,1015.9,1012.5,18.0,0.0,19.9,76.0,254.0,0.0,0.0,xml_feed
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-10,2.19,41.41,,27.0,18.3,78.0,43.0,1016.0,1013.1,31.0,,23.7,64.0,0.0,0.0,,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-10,2.19,41.4,18.0,27.6,18.7,77.0,43.0,1014.1,1011.0,27.0,0.0,23.5,66.0,244.0,0.0,0.0,xml_feed
Barcelona - Sant Martí (Barcelona),ESCAT0800000008018E,2026-09-10,2.19,41.41,20.0,26.4,18.0,84.0,52.0,1014.4,1011.3,31.0,0.0,23.7,70.0,230.0,2.0,0.0,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-10,2.12,41.42,512.0,22.7,13.7,88.0,53.0,1018.7,1014.6,34.0,0.0,18.9,79.0,292.0,16.0,0.0,xml_feed
