name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - Barri Gòtic (Barcelona),ESCAT0800000008002A,2026-09-21,2.18,41.38,31.0,33.5,22.4,76.0,35.0,1023.3,1017.6,15.0,0.0,26.4,59.0,165.0,0.0,0.0,xml_feed
Barcelona - Poblenou (Barcelona),ESCAT0800000008005A,2026-09-21,2.21,41.41,25.0,29.4,20.7,85.0,58.0,1024.0,1019.0,10.0,0.0,24.9,85.0,46.0,0.0,0.0,xml_feed
Barcelona - Augusta (Barcelona),ESCAT0800000008006A,2026-09-21,2.16,41.4,,33.1,22.4,71.0,28.0,1027.7,1022.1,15.0,0.0,26.0,62.0,102.0,0.0,0.0,xml_feed
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-21,2.18,41.4,45.0,32.0,22.9,75.0,35.0,1024.7,1018.7,20.0,0.0,26.1,60.0,153.0,0.0,0.0,xml_feed
Barcelona - Psg Sant Joan (Barcelona),ESCAT0800000008009B,2026-09-21,2.17,41.4,29.0,33.0,21.9,77.0,35.0,1027.1,1021.8,15.0,0.0,25.9,76.0,101.0,1.0,0.0,xml_feed
Barcelona-Eixample Esq. (Barcelona),ESCAT0800000008011B,2026-09-21,2.16,41.38,,33.1,22.6,74.0,35.0,1024.9,1019.4,20.0,0.0,25.9,57.0,240.0,0.0,0.0,xml_feed
Barcelona - Gràcia Centre (Barcelona),ESCAT0800000008012A,2026-09-21,2.16,41.4,78.0,31.3,22.7,75.0,37.0,1024.7,1019.2,23.0,0.0,26.0,66.0,228.0,0.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-21,2.14,41.38,45.0,32.2,21.9,72.0,36.0,1024.3,1018.6,19.0,0.0,25.9,56.0,137.0,0.0,0.0,xml_feed
Barcelona - Can Bruixa (Barcelona),ESCAT0800000008014C,2026-09-21,2.13,41.38,61.0,32.1,22.8,69.0,29.0,1024.4,1019.1,21.0,0.0,25.9,57.0,126.0,0.0,0.0,xml_feed
Barcelona - Hostafrancs (Barcelona),ESCAT0800000008014G,2026-09-21,2.14,41.37,39.0,31.4,22.0,73.0,38.0,1025.1,1019.4,7.0,0.0,25.8,58.0,168.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008017B,2026-09-21,2.13,41.4,80.0,33.0,22.4,72.0,34.0,1022.8,1017.3,9.0,0.0,24.6,60.0,266.0,0.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-21,2.1,41.43,320.0,30.8,19.6,74.0,39.0,1024.5,1019.2,16.0,0.0,23.6,65.0,128.0,1.0,0.0,xml_feed
