name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Barcelona - La Pedrera (Barcelona),ESCAT0800000008008A,2026-09-22,2.18,41.4,45.0,27.8,22.9,77.0,60.0,1020.1,1017.5,24.0,0.0,24.5,71.0,171.0,4.0,0.0,xml_feed
Barcelona Sants-Montjuïc  (Barcelona),ESCAT0800000008014B,2026-09-22,2.14,41.38,45.0,27.9,22.6,76.0,59.0,1019.5,1017.3,23.0,0.0,24.3,71.0,294.0,0.0,0.0,xml_feed
BCN Pl. Sants - Pl. Farga (Barcelona),ESCAT0800000008014F,2026-09-22,2.14,41.37,40.0,27.8,22.6,77.0,61.0,1020.4,1018.1,23.0,0.0,24.4,73.0,254.0,3.0,0.0,xml_feed
Barcelona - Rectoret (Barcelona),ESCAT0800000008017D,2026-09-22,2.1,41.43,320.0,26.9,18.1,85.0,50.0,1019.9,1017.6,18.0,0.0,20.6,83.0,208.0,0.0,0.0,xml_feed
Barcelona - El Clot (Barcelona),ESCAT0800000008018A,2026-09-22,2.19,41.41,,28.2,22.1,77.0,60.0,1019.9,1017.8,23.0,,24.8,70.0,225.0,2.0,,xml_feed
Barcelona - betevé (Barcelona),ESCAT0800000008018D,2026-09-22,2.19,41.4,18.0,28.1,22.6,77.0,60.0,1018.0,1016.0,23.0,0.0,25.1,69.0,261.0,5.0,0.0,xml_feed
Barcelona - Tibidabo (Barcelona),ESCAT0800000008023C,2026-09-22,2.12,41.42,512.0,23.8,19.8,89.0,50.0,1022.0,1019.6,29.0,0.0,20.1,84.0,292.0,7.0,0.0,xml_feed
Barcelona - El Coll-Vallcarca (Barcelona),ESCAT0800000008023D,2026-09-22,2.15,41.41,135.0,27.6,20.7,87.0,61.0,1021.9,1019.8,21.0,0.0,22.3,77.0,0.0,0.0,0.0,xml_feed
Barcelona - Sant Gervasi (Barcelona),ESCAT0800000008023I,2026-09-22,2.14,41.41,160.0,27.7,21.8,83.0,59.0,1018.8,1016.5,24.0,0.0,22.7,75.0,255.0,3.0,0.0,xml_feed
Barcelona - Bon Pastor  (Barcelona),ESCAT0800000008030C,2026-09-22,2.21,41.44,18.0,28.4,19.7,84.0,61.0,1019.5,1017.1,20.0,0.0,23.1,78.0,22.0,0.0,0.0,xml_feed
Barcelona - Horta (Barcelona),ESCAT0800000008032A,2026-09-22,2.15,41.43,100.0,28.8,20.7,82.0,58.0,1018.7,1016.3,18.0,0.0,22.1,81.0,112.0,0.0,0.0,xml_feed
Barcelona - Sarrià (Barcelona),ESCAT0800000008034A,2026-09-22,2.12,41.39,,28.7,22.2,76.0,56.0,1018.9,1016.7,,,23.3,73.0,,,,xml_feed
Badalona - Llefià (Barcelona),ESCAT0800000008080A,2026-09-22,2.23,41.44,25.0,27.7,21.3,,,1021.1,1018.7,,0.0,23.9,,,,0.0,xml_feed
Mollet  -  Estació França (Barcelona),ESCAT0800000008100C,2026-09-22,2.22,41.53,65.0,28.4,18.8,82.0,53.0,1022.7,1020.5,23.0,0.0,22.4,72.0,135.0,0.0,0.0,xml_feed
Sant Fost - Mas Llombart (Barcelona),ESCAT0800000008105B,2026-09-22,2.24,41.5,175.0,26.8,18.8,63.0,50.0,1021.4,1019.2,21.0,0.0,18.8,63.0,112.0,0.0,0.0,xml_feed
Sant Fost - Mas Corts (Barcelona),ESCAT0800000008105C,2026-09-22,2.25,41.5,300.0,27.4,18.4,87.0,60.0,1020.6,1018.4,21.0,0.0,20.4,81.0,350.0,0.0,0.0,xml_feed
Montmeló-T.de la Bandera (Barcelona),ESCAT0800000008160A,2026-09-22,2.25,41.56,112.0,29.4,17.8,85.0,55.0,1018.1,1015.9,16.0,0.0,21.9,76.0,162.0,0.0,0.0,xml_feed
Moià - Oest (Barcelona),ESCAT0800000008180E,2026-09-22,2.09,41.81,735.0,28.1,15.3,87.0,53.0,1023.2,1020.5,13.0,0.0,17.6,87.0,0.0,0.0,0.0,xml_feed
Castellcir (Barcelona),ESCAT0800000008183C,2026-09-22,2.15,41.76,785.0,26.4,16.2,94.0,52.0,,,,0.0,16.5,94.0,,,0.0,xml_feed
Palau-solità i P. Cortés (Barcelona),ESCAT0800000008184C,2026-09-22,2.18,41.59,125.0,28.6,17.6,87.0,63.0,1020.2,1017.7,29.0,0.0,22.4,81.0,321.0,0.0,0.0,xml_feed
Vallromanes - Est (Barcelona),ESCAT0800000008188B,2026-09-22,2.31,41.53,220.0,26.7,17.1,98.0,73.0,1020.7,1018.6,21.0,0.0,19.1,93.0,112.0,0.0,0.0,xml_feed
St Quirze del V -VallSuau (Barcelona),ESCAT0800000008192A,2026-09-22,2.07,41.53,230.0,28.2,18.4,80.0,53.0,1021.0,1018.2,22.0,0.0,21.2,78.0,248.0,3.0,0.0,xml_feed
Sant Quirze del Vallés  (Barcelona),ESCAT0800000008192B,2026-09-22,2.09,41.53,,29.0,18.1,79.0,57.0,1018.6,1016.0,6.0,0.0,22.2,75.0,0.0,0.0,0.0,xml_feed
Sant Cugat Vallès-Mirasol (Barcelona),ESCAT0800000008195B,2026-09-22,2.04,41.47,110.0,28.4,16.8,92.0,61.0,1021.1,1018.2,13.0,0.0,21.0,85.0,135.0,0.0,0.0,xml_feed
S. Cugat Val. La Floresta (Barcelona),ESCAT0800000008198A,2026-09-22,2.08,41.45,217.0,28.9,17.7,,,1022.4,1019.7,,0.0,21.4,,,,0.0,xml_feed
Sabadell - Centre (Barcelona),ESCAT0800000008202B,2026-09-22,2.11,41.55,197.0,28.7,19.3,81.0,61.0,1020.8,1018.3,29.0,0.0,22.9,77.0,252.0,3.0,0.0,xml_feed
Sabadell - Can Rull (Barcelona),ESCAT0800000008206G,2026-09-22,2.09,41.56,225.0,28.7,18.7,79.0,52.0,1020.1,1017.1,22.0,0.0,22.0,75.0,292.0,1.0,0.0,xml_feed
Castellar del Vallès (Barcelona),ESCAT0800000008211B,2026-09-22,2.09,41.62,331.0,28.3,18.4,80.0,57.0,1022.0,1020.0,18.0,0.0,21.1,77.0,225.0,0.0,0.0,xml_feed
Terrassa - Plaça Nova (Barcelona),ESCAT0800000008221B,2026-09-22,2.02,41.56,285.0,27.4,19.9,77.0,60.0,1017.6,1015.1,23.0,0.0,22.1,77.0,157.0,0.0,0.0,xml_feed
Terrassa - Ca n'Aurell (Barcelona),ESCAT0800000008224A,2026-09-22,2.0,41.57,300.0,28.2,18.9,83.0,61.0,1020.4,1017.8,13.0,0.0,21.1,83.0,318.0,0.0,0.0,xml_feed
Terrassa-Centre (Barcelona),ESCAT0800000008224F,2026-09-22,2.01,41.56,300.0,28.1,19.2,82.0,62.0,1019.0,1016.5,,0.0,21.3,82.0,,,0.0,xml_feed
Terrassa - Can Boada (Barcelona),ESCAT0800000008225G,2026-09-22,2.0,41.57,325.0,28.8,18.4,84.0,56.0,1019.0,1016.5,18.0,0.0,20.6,84.0,67.0,5.0,0.0,xml_feed
Terrassa  -Sant Pere Nord (Barcelona),ESCAT0800000008226C,2026-09-22,2.02,41.58,,28.0,19.2,79.0,57.0,,,11.0,,21.4,79.0,50.0,2.0,,xml_feed
Matadepera-La Muntanyeta (Barcelona),ESCAT0800000008230C,2026-09-22,2.03,41.6,515.0,27.1,16.7,85.0,65.0,1020.4,1018.1,13.0,0.0,18.8,83.0,225.0,3.0,0.0,xml_feed
Vacarisses (Barcelona),ESCAT0800000008233A,2026-09-22,1.92,41.6,425.0,27.2,15.5,84.0,59.0,1020.3,1017.6,23.0,0.0,19.9,84.0,113.0,0.0,0.0,xml_feed
Vacarisses Cam Serra (Barcelona),ESCAT0800000008233B,2026-09-22,1.89,41.6,382.0,29.0,13.4,90.0,53.0,1022.0,1019.2,23.0,0.0,21.2,80.0,0.0,10.0,0.0,xml_feed
Manresa - Est (Barcelona),ESCAT0800000008243B,2026-09-22,1.85,41.72,320.0,29.6,15.5,83.0,46.0,1022.6,1019.2,35.0,0.0,21.6,81.0,180.0,0.0,0.0,xml_feed
Santpedor (Barcelona),ESCAT0800000008251A,2026-09-22,1.84,41.79,330.0,29.8,14.3,76.0,76.0,1022.1,1022.1,4.0,0.0,20.8,76.0,225.0,2.0,0.0,xml_feed
Fals (Bages) (Barcelona),ESCAT0800000008259A,2026-09-22,1.71,41.74,400.0,29.5,13.1,79.0,47.0,1019.3,1016.0,24.0,0.0,19.3,77.0,13.0,0.0,0.0,xml_feed
Súria (tractets) (Barcelona),ESCAT0800000008260C,2026-09-22,1.75,41.84,340.0,31.7,14.2,79.0,45.0,1021.4,1017.9,21.0,0.0,21.2,79.0,234.0,0.0,0.0,xml_feed
Cardona_RavalSantJoan_DV (Barcelona),ESCAT0800000008261D,2026-09-22,1.68,41.92,444.0,30.2,12.2,58.0,24.0,1020.1,1016.2,26.0,0.0,20.9,57.0,207.0,1.0,0.0,xml_feed
Cardona_Salinera (Barcelona),ESCAT0800000008261E,2026-09-22,1.69,41.91,393.0,30.2,13.0,74.0,33.0,,,24.0,0.0,20.8,74.0,112.0,2.0,0.0,xml_feed
Valls de Torroella (Barcelona),ESCAT0800000008269A,2026-09-22,1.72,41.85,320.0,30.3,12.2,79.0,41.0,1021.4,1017.4,23.0,0.0,20.4,75.0,157.0,0.0,0.0,xml_feed
Cerdanyola - Centre (Barcelona),ESCAT0800000008290B,2026-09-22,2.14,41.49,100.0,27.7,18.1,88.0,65.0,1018.4,1015.9,24.0,0.0,22.2,82.0,271.0,2.0,0.0,xml_feed
