id,bolets_id,name,lon,lat,elev,n_days,coverage,miss_precip,source_mode,xema_style_id,xema_style_lon,xema_style_lat,xema_style_elev,xema_style_flag
ESCAT0800000008912B,MC_ESCAT0800000008912B,Badalona - Progres (Barcelona),2.24,41.45,27,1,1,0,smoke,MC_ESCAT0800000008912B,2.24,41.45,27,1
ESCAT0800000008913B,MC_ESCAT0800000008913B,Badalona- S.Antoni Llefià (Barcelona),2.22,41.44,35,1,1,0,smoke,MC_ESCAT0800000008913B,2.22,41.44,35,1
ESCAT0800000008915A,MC_ESCAT0800000008915A,Badalona - Bufalà (Barcelona),2.24,41.46,65,1,1,0,smoke,MC_ESCAT0800000008915A,2.24,41.46,65,1
ESCAT0800000008915C,MC_ESCAT0800000008915C,Badalona - BCIN (Barcelona),2.26,41.46,81,1,1,0,smoke,MC_ESCAT0800000008915C,2.26,41.46,81,1
ESCAT0800000008935A,MC_ESCAT0800000008935A,Sant Esteve Sesrovires (Barcelona),1.87,41.49,190,1,1,0,smoke,MC_ESCAT0800000008935A,1.87,41.49,190,1
ESCAT0800000008940C,MC_ESCAT0800000008940C,Cornella de Llobregat (Barcelona),2.08,41.36,47,1,1,0,smoke,MC_ESCAT0800000008940C,2.08,41.36,47,1
ESCAT0800000008980A,MC_ESCAT0800000008980A,Sant Feliu de Llobregat (Barcelona),2.05,41.39,48,1,1,0,smoke,MC_ESCAT0800000008980A,2.05,41.39,48,1
ESCAT0800000008980C,MC_ESCAT0800000008980C,Sant Feliu Llob - Mestral (Barcelona),2.05,41.39,112,1,1,0,smoke,MC_ESCAT0800000008980C,2.05,41.39,112,1
ESCAT0800000008980D,MC_ESCAT0800000008980D,Sant Feliu deLlob.S.Josep (Barcelona),2.01,41.37,26,1,1,0,smoke,MC_ESCAT0800000008980D,2.01,41.37,26,1
ESCAT0800000025716A,MC_ESCAT0800000025716A,Pedraforca-PN CadíMoixeró (Barcelona),1.7,42.24,2270,1,1,0,smoke,MC_ESCAT0800000025716A,1.7,42.24,2270,1
ESCAT1700000017006A,MC_ESCAT1700000017006A,Girona - Marfà (Girona),2.81,41.98,72,1,1,0,smoke,MC_ESCAT1700000017006A,2.81,41.98,72,1
ESCAT1700000017007B,MC_ESCAT1700000017007B,Girona-Fontajau (Girona),2.82,41.99,76,1,1,0,smoke,MC_ESCAT1700000017007B,2.82,41.99,76,1
ESCAT1700000017100A,MC_ESCAT1700000017100A,La Bisbal d'Empordà - T (Girona),3.04,41.96,60,1,1,0,smoke,MC_ESCAT1700000017100A,3.04,41.96,60,1
ESCAT1700000017100B,MC_ESCAT1700000017100B,La Bisbal d'Empordà (Girona),3.04,41.95,44,1,1,0,smoke,MC_ESCAT1700000017100B,3.04,41.95,44,1
ESCAT1700000017100C,MC_ESCAT1700000017100C,La Bisbal d'Empordà LV (Girona),3.04,41.96,40,1,1,0,smoke,MC_ESCAT1700000017100C,3.04,41.96,40,1
ESCAT1700000017116A,MC_ESCAT1700000017116A,Gavarres - Puig d'Arques (Girona),3,41.89,475,1,1,0,smoke,MC_ESCAT1700000017116A,3,41.89,475,1
ESCAT1700000017130C,MC_ESCAT1700000017130C,L'Escala Closa d'en Llop (Girona),3.13,42.12,35,1,1,0,smoke,MC_ESCAT1700000017130C,3.13,42.12,35,1
ESCAT1700000017130F,MC_ESCAT1700000017130F,L'Escala - Riells Centre (Girona),3.14,42.11,4,1,1,0,smoke,MC_ESCAT1700000017130F,3.14,42.11,4,1
ESCAT1700000017141C,MC_ESCAT1700000017141C,Sobrestany (Girona),3.12,42.08,25,1,1,0,smoke,MC_ESCAT1700000017141C,3.12,42.08,25,1
ESCAT1700000017142A,MC_ESCAT1700000017142A,Verges (Girona),3.05,42.06,15,1,1,0,smoke,MC_ESCAT1700000017142A,3.05,42.06,15,1
ESCAT1700000017142C,MC_ESCAT1700000017142C,Verges Ponent (Girona),3.05,42.06,27,1,1,0,smoke,MC_ESCAT1700000017142C,3.05,42.06,27,1
ESCAT1700000017150A,MC_ESCAT1700000017150A,Sant Gregori (Girona),2.76,41.99,112,1,1,0,smoke,MC_ESCAT1700000017150A,2.76,41.99,112,1
